smiles,homo_eV
c1ccc(cn1)-c1cc2[se]c3c(cnc4ccc5nsnc5c34)c2c2nsnc12,-6.11
c1cc2cnc3c4[SiH2]C(=Cc4sc3c2c2cocc12)c1cccc2=CCC=c12,-5.15
c1cc2c3nsnc3c3c(ccc4cc(cnc34)-c3ncncn3)c2cn1,-6.34
c1ccc(cc1)-c1ccc(cn1)-c1ncc(s1)-c1ncncn1,-6.17
c1cc2c(o1)c1c3cocc3c3cc(-c4ncncn4)c4c[nH]cc4c3c1c1=C[SiH2]C=c21,-5.07
c1cc2cnc3c(cnc4cc(-c5ncncn5)c5nsnc5c34)c2c2nsnc12,-6.37
c1cc2oc3c(cnc4cc(oc34)-c3ncncn3)c2cn1,-6.46
[nH]1ccc2[nH]c3c4CC(=Cc4c4c[nH]cc4c3c12)c1scc2cc[nH]c12,-4.12
[nH]1c(cc2sc3c(cnc4ccoc34)c12)-c1scc2[nH]ccc12,-4.9
[nH]1c2ccsc2c2sc3cc(-c4scc5CC=Cc45)c4ccccc4c3c12,-5.15
[nH]1-c2c(-c3c1ccc1c[nH]cc31)c1c[nH]cc1c1ccc3c[nH]cc3c21,-4.32
[nH]1c2C3=C([SiH2]c2c2c1cc(C1=CC=CC1)c1c[nH]cc21)C=CC3,-4.41
c1sc(-c2ccc3c(c2)ncc2c4cnccc4c4cocc4c32)c2nccnc12,-5.71
[nH]1c2C=C(Cc2c2[nH]c3ccc4c[nH]cc4c3c12)c1cccc2c[nH]cc12,-4.14
c1cc2cc3c4nsnc4c4cc(oc4c3cc2c2nsnc12)-c1ncncn1,-6.15
[nH]1cccc1C1=Cc2c(C1)c1ccc3ccc4=CCC=c4c3c1c1nsnc21,-4.94
c1ccc(-c2cc3ccc4c(cnc5ccc6cocc6c45)c3c3cocc23)c2nsnc12,-5.46
c1sc(c2[SiH2]C=Cc12)-c1cc2c3nsnc3c3c(ccc4cccnc34)c2cn1,-5.78
c1cc2c3nsnc3c3c4sc(cc4ccc3c2c2nsnc12)-c1ncncn1,-6.18
c1Cc(cc1)-c1ccc([se]1)-c1Cc(cc1)-c1scc2ccsc12,-4.81
c1cc2ncc3c(cnc4cc(-c5cccc6nsnc56)c5nsnc5c34)c2s1,-6.01
c1cc2ccc3c(c4nsnc4c4cc(-c5nccc6nsnc56)c5nsnc5c34)c2o1,-5.95
c1cc2ncc3c4ccc(cc4c4cocc4c3c2s1)-c1cccc2nsnc12,-5.74
[nH]1c2-c3sc(cc3Cc2c2c1ccc1=CCC=c21)-c1cccc2c[nH]cc12,-4.51
c1sc(-c2ccc(-c3ccc(cc3)-c3ccccn3)c3ccccc23)c2ccCc12,-5.46
c1sc(-c2ccc([se]2)-c2ccc(s2)-c2scc3sccc23)c2ccoc12,-5.01
[nH]1ccc2c1c1CC(=Cc1c1=CCC=c21)c1scc2[nH]ccc12,-4.3
[nH]1c2ccc3cscc3c2c2c1c1cnc(cc1c1ccccc21)-c1nccs1,-5.32
c1cc2ncc3c4ccc(cc4ncc3c2c2nsnc12)-c1ncncn1,-6.5
c1cc2cnc3c4ncc(cc4c4nsnc4c3c2o1)-c1scc2cc[se]c12,-5.57
c1cnc(-c2cnc3c(c2)oc2cc4ccc5ccccc5c4cc32)c2nsnc12,-5.85
c1cc2ccc3cc(-c4cccc5c[nH]cc45)c4=C[SiH2]C=c4c3c2o1,-5.06
c1cnc(s1)-c1ccc(-c2ccc(-c3nccc4nsnc34)c3c[nH]cc23)c2cscc12,-5.14
c1sc(-c2sc(-c3ccc(cc3)-c3ccccc3)c3[nH]ccc23)c2ccoc12,-4.82
C1=Cc2ncc3cc4cc(cnc4cc3c2[SiH2]1)-c1cncs1,-5.84
[nH]1ccc2[nH]c3c4oc(cc4[nH]c3c12)-c1scc2sccc12,-4.34
[nH]1c(cc2[nH]c3c4[se]ccc4c4=CCC=c4c3c12)-c1cccc2=C[SiH2]C=c12,-4.63
c1sc(-c2Cc(cc2)-c2ccc(s2)-c2cccc3cscc23)c2cc[SiH2]c12,-4.97
c1cnc2cc(-c3cnc4ccncc4c3)c3nsnc3c2c1,-6.36
c1ccc2c(c1)[se]c1c2cnc2cc(ncc12)-c1cncc2nsnc12,-6.2
C1=Cc2c(C1)c1CC(=Cc1c1c[nH]cc21)c1scc2occc12,-4.46
c1cc2oc3c(ccc4cc(ncc34)-c3nccc4nsnc34)c2cn1,-6.06
[nH]1ccc2c1cc(-c1cc3[SiH2]C=Cc3c3nsnc13)c1nsnc21,-5.6
[nH]1ccc2[se]c3c4CC(=Cc4[nH]c3c12)c1ccco1,-4.46
c1cc2oc3c(ccc4cc(ncc34)-c3nccc4nsnc34)c2s1,-5.81
c1cc2ncc3cc(cnc3c2s1)-c1ccccc1,-6.15
[nH]1c(cc2ncc3c4[SiH2]C=Cc4c4nsnc4c3c12)-c1nccs1,-5.69
C1=CC=C([SiH2]1)c1cc2ncc3c4cnccc4c4nsnc4c3c2o1,-5.85
c1ccc(nc1)-c1cnc2c(cnc3c4cnccc4ncc23)c1,-6.33
[nH]1c2ccc3c[nH]cc3c2c2[nH]c3cc(C4=CC=CC4)c4c[nH]cc4c3c12,-4.19
c1cnc2c3sc4cc([se]c4c3c3=C[SiH2]C=c3c2c1)-c1ncncn1,-5.73
[nH]1c-2c(Cc3ccc4c[nH]cc4c-23)c2c1cc(-c1scc3cc[se]c13)c1=CCC=c21,-4.45
[nH]1c(cc2[SiH2]c3c(-c12)c1=CCC=c1c1cc[nH]c31)-c1ccccn1,-4.65
c1ccc(cn1)-c1cc2cnccc2c2ccccc12,-6.09
c1sc(c2C=CCc12)-c1ccc2cc3c(cc2c1)c1nsnc1c1cccnc31,-5.56
[nH]1ccc2[se]c3c(oc4cc([nH]c34)-c3scc4C=C[SiH2]c34)c12,-4.8
c1sc(-c2sc(-c3sc(-c4scc5cc[nH]c45)c4cc[nH]c34)c3[nH]ccc23)c2ccCc12,-4.41
C1=Cc2cc3oc4cc(-c5cncc6nsnc56)c5=C[SiH2]C=c5c4c3cc2C1,-5.27
c1sc(-c2Cc(cc2)-c2sc(-c3scc4occc34)c3cc[nH]c23)c2cc[nH]c12,-4.31
[nH]1c(cc2c1c1c3cscc3c3ccsc3c1c1ccccc21)-c1ccco1,-5.03
[nH]1c(ccc1-c1cncc2nsnc12)-c1sc(-c2scc3ccCc23)c2cc[nH]c12,-4.82
C1=Cc2cnc3c(oc4cc(-c5ccccc5)c5cscc5c34)c2C1,-5.33
c1cnc(s1)-c1cnc2c3sccc3ncc2c1,-6.15
c1[SiH2]c2c(-c1)c1cocc1c1c3ncccc3c3c[nH]cc3c21,-5.08
C1=Cc2ccc3c4CC(=Cc4oc3c2C1)c1ccccn1,-5.13
c1cc2sc3c(cnc4cc(-c5ncncn5)c5cocc5c34)c2[se]1,-5.74
c1ncc(s1)-c1ccc2c3cnccc3c3=C[SiH2]C=c3c2c1,-5.92
c1cnc(s1)-c1sc(-c2sc(-c3scc4[nH]ccc34)c3[nH]ccc23)c2ccoc12,-4.56
[nH]1c(cc2c1c1oc3ccc4nsnc4c3c1c1=CCC=c21)C1=CC=CC1,-4.76
c1cc2cc3[se]c4cc([se]c4c3cc2[se]1)-c1nccc2nsnc12,-5.54
[nH]1c(cc2Cc3c([nH]c4cc[nH]c34)-c12)-c1cccc2=CCC=c12,-4.22
C1=CC=C([SiH2]1)c1cc2cnc3ccc4nsnc4c3c2[se]1,-5.81
[nH]1cccc1-c1cc2sc3cc4ccc5nsnc5c4cc3c2c2=C[SiH2]C=c12,-5.29
c1cc2cnc3c(c4cocc4c4cc(-c5scc6cc[nH]c56)c5ccccc5c34)c2o1,-5.09
c1cc2c3cscc3c3c4cnc(cc4ccc3c2c2nsnc12)-c1ncncn1,-5.84
