MW,AMW,Sv,Se,Sp,Si,Mv,Me,Mp,Mi,GD,nAT,nSK,nTA,nBT,nBO,nBM,SCBO,RBN,RBF,nAB,nH,nC,nN,nO,nS,nHM,nHet,H%,C%,N%,O%,nCsp3,nCsp2,nCIC,nCIR,TRS,Rperim,Rbrid,MCD,RFD,RCI,NRS,NNRS,nR05,nR06,nR10,nBnz,ARR,D/Dtr05,D/Dtr06,D/Dtr10,ZM1,ZM1V,ZM1Kup,ZM1Mad,ZM1Per,ZM1MulPer,ZM2,ZM2V,ZM2Kup,ZM2Mad,ZM2Per,ZM2MulPer,ON0,ON0V,ON1,ON1V,Qindex,BBI,DBI,SNar,HNar,GNar,Xt,Dz,Ram,BLI,Pol,LPRS,MSD,SPI,PJI2,ECC,AECC,DECC,MDDD,UNIP,CENT,VAR,ICR,SMTI,SMTIV,GMTI,GMTIV,Xu,CSI,Wap,S1K,S2K,S3K,PHI,PW2,PW3,PW4,PW5,MAXDN,MAXDP,DELS,TIE,Psi_i_s,Psi_i_A,Psi_i_0,Psi_i_1,Psi_i_t,Psi_i_0d,Psi_i_1d,Psi_e_A,Psi_e_0,Psi_e_1,Psi_e_0d,BAC,LOC,MWC01,MWC02,MWC03,MWC04,MWC05,MWC06,MWC07,MWC08,MWC09,MWC10,SRW02,SRW04,SRW05,SRW06,SRW07,SRW08,SRW09,SRW10,MPC01,MPC02,MPC03,MPC04,MPC05,MPC06,MPC07,MPC08,MPC09,MPC10,piPC01,piPC02,piPC03,piPC04,piPC05,piPC06,piPC07,piPC08,piPC09,piPC10,TWC,TPC,piID,PCR,PCD,CID,BID,X0,X1,X2,X3,X4,X5,X0A,X1A,X2A,X3A,X4A,X5A,X0v,X1v,X2v,X3v,X4v,X5v,X0Av,X1Av,X2Av,X3Av,X4Av,X5Av,X0sol,X1sol,X2sol,X3sol,X4sol,X5sol,XMOD,RDCHI,smiles,density_Kg/m3
285.54,7.932,22.324,35.283,25.801,39.995,0.62,0.98,0.717,1.111,0.14,36,17,0,38,19,5,21.5,3,0.079,5,19,13,1,0,3,3,4,52.8,36.1,2.8,0.0,10,3,3,3,16,16,0,0.941,0.0,1.0,3,1.0,2,1,0,0,0.263,91.036,54.022,0.0,88,224,176.226,157.124,318.32,234.007,101,209,183.293,167.043,328.23,221.084,7.833,6.2,3.778,2.464,13,25,1.732,13.405,2.17,2.2,0.273,34.5,4,1.512,19,70.99,4.803,0.0,1.0,133,7.824,1.384,11.474,50,278,38,2.469,2574,3778,2707,5490,17.377,293,3587,12.499,6.074,3.27,4.466,0.563,0.322,0.179,0.082,0.656,1.666,4.967,19.643,28.5,1.676,13.313,11.794,0.015,-0.0,-0.0,7.176,6.373,2.691,-0.0,0,0.0,2.996,4.489,5.313,6.159,6.999,7.85,8.696,9.55,10.399,11.255,3.664,4.934,3.045,6.382,5.209,7.907,7.125,9.474,2.996,3.258,3.497,3.738,3.761,3.784,3.892,3.892,3.892,3.807,3.114,3.534,3.968,4.437,4.539,4.754,4.951,5.022,5.051,4.961,11.81,6.227,7.162,1.15,0.936,3.588,2.907,11.502,8.416,7.223,6.04,5.079,3.393,0.677,0.443,0.289,0.189,0.124,0.081,12.51,9.576,8.561,7.673,6.719,5.067,0.736,0.504,0.342,0.24,0.164,0.121,12.562,9.778,8.973,8.186,7.359,5.486,64.573,3.156,C1CSC(CS1)c1ncc(s1)CC1CCCC1,1184.64
240.24,9.24,18.569,26.829,18.455,29.242,0.714,1.032,0.71,1.125,0.131,26,18,1,28,20,17,28.5,2,0.071,17,8,12,4,2,0,0,6,30.8,46.2,15.4,7.7,0,12,3,3,17,17,0,0.944,0.0,1.0,3,1.0,1,2,0,0,0.85,44.096,111.867,0.0,94,304,338.466,106.307,443.67,324.389,110,311,329.901,123.196,481.18,331.526,8.667,4.75,4.0,1.374,14,27,1.581,13.811,2.077,2.154,0.269,40.0,5,0.779,25,75.969,4.683,4.909,1.0,140,7.778,1.272,11.667,51,330,44,2.414,2808,5273,2909,9852,18.028,305,4482,10.72,4.453,2.059,2.652,0.571,0.338,0.186,0.095,1.802,3.601,18.743,20.512,43.833,2.435,12.075,9.482,0.001,0.0,0.0,7.935,6.554,2.767,0.0,2,0.463,3.045,4.554,5.398,6.26,7.12,7.989,8.856,9.729,10.599,11.473,3.714,5.004,2.398,6.5,4.595,8.082,6.605,9.707,3.045,3.332,3.611,3.85,3.989,3.989,4.078,4.078,4.078,4.025,3.384,3.994,4.609,5.202,5.663,5.897,6.32,6.663,7.008,7.293,12.014,6.417,9.545,1.488,3.128,3.641,2.961,12.372,8.843,7.657,6.614,5.521,4.14,0.687,0.442,0.284,0.184,0.12,0.078,9.186,5.197,3.519,2.367,1.555,0.917,0.51,0.26,0.13,0.066,0.034,0.017,12.372,8.843,7.657,6.614,5.521,4.14,56.408,3.138,Oc1nccnc1c1coc(c1)c1cnccn1,1333.85
313.42,8.471,24.643,37.331,25.938,41.697,0.666,1.009,0.701,1.127,0.108,37,22,0,40,25,16,33.0,3,0.075,16,15,15,5,1,1,1,7,40.5,40.5,13.5,2.7,3,12,4,4,22,22,0,1.0,0.0,1.0,4,1.0,2,2,0,0,0.64,122.56,138.27,0.0,118,336,347.509,153.821,491.52,355.145,139,345,350.193,171.826,539.34,370.955,10.0,6.55,4.833,1.993,18,34,1.732,17.682,2.2,2.234,0.238,47.5,6,0.943,30,101.704,5.759,0.0,1.0,208,9.455,1.636,18.165,76,612,64,2.72,5247,8924,5707,16078,21.884,467,10535,13.879,6.162,2.933,3.888,0.573,0.341,0.188,0.086,0.715,1.611,11.543,20.542,45.0,2.045,15.679,12.846,0.001,0.0,-0.0,7.545,8.075,3.393,0.0,0,0.0,3.258,4.779,5.631,6.494,7.357,8.223,9.09,9.958,10.825,11.694,3.932,5.231,3.045,6.723,5.13,8.299,6.986,9.92,3.258,3.555,3.85,4.094,4.205,4.304,4.443,4.511,4.595,4.635,3.526,4.078,4.644,5.176,5.427,5.727,6.091,6.377,6.679,6.867,12.238,7.058,9.594,1.359,2.537,3.849,3.147,14.778,10.899,9.451,8.371,7.068,4.966,0.672,0.436,0.278,0.182,0.12,0.075,12.662,7.857,5.909,4.436,3.088,1.792,0.576,0.314,0.174,0.096,0.052,0.027,15.131,11.353,10.034,9.053,7.713,5.312,73.539,3.629,N1CN(CN(C1)c1cncs1)c1ccc(cn1)c1cocc1,1332.41
218.32,9.492,15.153,23.553,16.466,25.544,0.659,1.024,0.716,1.111,0.179,23,13,2,24,14,5,16.5,1,0.042,5,10,8,0,3,2,2,5,43.5,34.8,0.0,13.0,4,4,2,2,11,11,0,0.846,0.0,1.0,2,1.0,1,1,0,0,0.357,32.453,37.547,0.0,68,236,229.756,122.31,330.06,252.629,80,207,202.853,130.854,332.04,221.37,6.917,3.817,2.861,1.183,11,20,2.0,9.129,1.88,2.018,0.331,29.0,4,1.301,18,45.923,3.211,5.086,1.0,63,4.846,0.805,5.172,24,140,21,1.854,1011,2007,953,3560,12.77,131,1007,9.614,3.669,1.799,2.713,0.586,0.353,0.188,0.079,2.222,4.134,17.418,22.098,32.25,2.481,9.135,7.681,0.007,-0.001,0.001,7.981,4.836,2.12,-0.003,5,0.7,2.708,4.234,5.081,5.974,6.841,7.739,8.612,9.512,10.386,11.286,3.367,4.691,2.398,6.232,4.595,7.871,6.581,9.559,2.708,3.045,3.296,3.497,3.434,3.258,3.091,2.833,2.398,1.946,2.862,3.376,3.858,4.302,4.241,4.276,4.219,4.041,3.804,3.446,11.813,5.375,6.263,1.165,0.887,3.3,2.671,9.312,6.223,5.729,4.752,3.911,2.417,0.716,0.444,0.286,0.183,0.122,0.081,8.528,6.073,5.302,4.738,3.889,3.026,0.656,0.434,0.265,0.182,0.122,0.101,10.019,7.15,6.914,6.201,5.342,3.836,48.591,2.465,OC1(CSCCS1)c1ccoc1O,1370.11
319.45,9.396,23.303,34.524,24.824,38.202,0.685,1.015,0.73,1.124,0.114,34,21,0,37,24,15,31.5,3,0.081,15,13,13,5,1,2,2,8,38.2,38.2,14.7,2.9,3,10,4,4,21,21,0,1.0,0.0,1.0,4,1.0,3,1,0,0,0.625,144.686,61.304,0.0,114,350,343.057,165.394,508.58,370.266,137,351,347.203,181.713,553.01,378.205,9.5,5.933,4.639,1.783,18,33,1.732,16.989,2.211,2.246,0.243,45.5,6,1.044,29,92.387,4.646,0.0,0.8,152,7.238,1.034,13.007,57,543,50,2.244,4006,7216,4293,13502,20.287,340,9454,13.515,5.925,2.548,3.813,0.569,0.35,0.211,0.098,1.316,1.948,13.53,20.89,43.167,2.056,14.978,12.452,0.001,-0.0,0.0,7.556,7.725,3.295,-0.0,0,0.0,3.219,4.745,5.617,6.503,7.393,8.288,9.185,10.083,10.981,11.881,3.892,5.198,3.434,6.698,5.587,8.295,7.506,9.949,3.219,3.526,3.871,4.19,4.277,4.407,4.5,4.522,4.5,4.443,3.481,4.039,4.636,5.217,5.335,5.75,6.065,6.321,6.511,6.647,12.403,6.98,9.473,1.357,2.493,3.804,3.105,14.071,10.433,8.96,8.06,7.21,4.914,0.67,0.435,0.272,0.171,0.111,0.069,12.655,8.354,6.06,4.583,3.558,2.043,0.603,0.348,0.184,0.098,0.055,0.029,14.778,11.433,9.956,9.089,8.382,5.591,75.996,3.399,N1CNC(N(C1)c1cscn1)c1cocc1c1cscn1,1387.8
320.46,9.425,25.051,33.774,27.114,36.913,0.737,0.993,0.797,1.086,0.108,34,22,0,37,25,22,36.0,3,0.081,22,12,18,2,0,2,2,4,35.3,52.9,5.9,0.0,0,18,4,4,22,22,0,1.0,0.0,1.0,4,1.0,2,2,0,1,0.88,108.814,130.637,0.0,118,326,299.011,163.555,484.18,344.546,140,352,335.739,179.517,545.97,373.573,10.0,6.233,4.861,1.953,18,34,1.732,17.682,2.2,2.234,0.238,45.0,6,1.047,31,100.006,5.224,0.0,0.833,189,8.591,1.318,16.0,67,640,62,2.534,4834,8157,5203,14343,21.494,422,11258,13.624,5.996,2.711,3.713,0.568,0.341,0.199,0.099,0.691,1.807,8.113,21.45,43.667,1.985,15.765,13.075,0.001,0.0,-0.0,7.485,8.082,3.421,0.0,0,0.0,3.258,4.779,5.638,6.512,7.388,8.27,9.153,10.038,10.924,11.811,3.932,5.231,3.045,6.73,5.209,8.318,7.154,9.956,3.258,3.555,3.871,4.159,4.304,4.382,4.511,4.595,4.635,4.605,3.611,4.227,4.873,5.502,5.938,6.284,6.75,7.152,7.515,7.802,12.342,7.103,11.177,1.574,4.074,3.85,3.148,14.778,10.916,9.388,8.316,7.22,5.364,0.672,0.437,0.276,0.177,0.115,0.073,13.272,8.728,6.449,4.991,3.9,2.416,0.603,0.349,0.19,0.106,0.062,0.033,15.485,11.87,10.437,9.535,8.627,6.378,75.899,3.549,c1ccc(nc1)c1ccccc1c1csc(n1)c1cscc1,1241.41
247.31,7.728,21.897,31.731,23.029,35.199,0.684,0.992,0.72,1.1,0.123,32,19,1,34,21,18,30.0,2,0.059,18,13,17,1,1,0,0,2,40.6,53.1,3.1,3.1,0,17,3,3,18,18,0,0.947,0.0,1.0,3,1.0,0,3,0,2,0.857,0.0,180.741,0.0,98,238,249.795,102.268,354.91,253.739,114,261,266.847,118.158,400.6,275.723,9.167,5.65,4.25,1.838,14,28,1.581,14.504,2.073,2.145,0.263,39.5,5,0.879,28,82.156,4.945,4.898,0.833,159,8.368,1.507,13.524,58,362,48,2.524,3277,5231,3411,8400,19.024,347,4743,11.638,5.048,2.395,3.092,0.567,0.335,0.186,0.101,1.604,4.095,10.741,22.004,41.333,2.175,13.344,10.797,0.001,-0.0,-0.0,7.675,6.978,2.93,-0.0,2,0.447,3.091,4.595,5.434,6.29,7.144,8.008,8.869,9.736,10.6,11.469,3.761,5.043,0.0,6.547,0.0,8.142,0.0,9.78,3.091,3.367,3.638,3.871,4.078,4.025,4.159,4.174,4.143,4.111,3.434,4.034,4.642,5.229,5.799,5.955,6.448,6.816,7.143,7.464,12.014,6.475,9.647,1.49,3.172,3.695,3.01,13.079,9.343,8.01,6.848,5.758,4.637,0.688,0.445,0.286,0.185,0.123,0.08,10.323,6.153,4.3,3.029,2.061,1.364,0.543,0.293,0.154,0.082,0.044,0.024,13.079,9.343,8.01,6.848,5.758,4.637,57.046,3.232,Oc1nc(ccc1c1ccccc1)c1ccccc1,1144.55
248.31,8.01,21.193,30.942,22.068,34.654,0.684,0.998,0.712,1.118,0.123,31,19,1,33,21,18,30.0,2,0.061,18,12,15,4,0,0,0,4,38.7,48.4,12.9,0.0,1,14,3,3,18,18,0,0.947,0.0,1.0,3,1.0,0,3,0,1,0.857,0.0,162.754,0.0,98,262,276.58,104.55,388.73,277.606,114,283,292.507,121.105,434.04,301.2,9.167,6.05,4.25,1.782,14,28,1.581,14.504,2.073,2.145,0.263,40.0,5,0.856,28,80.741,4.452,5.21,0.8,135,7.105,0.975,11.23,49,425,47,2.234,3019,5043,3103,8332,18.63,291,5089,11.491,4.951,2.338,2.994,0.565,0.33,0.193,0.111,0.832,1.519,10.432,18.818,40.333,2.123,13.253,10.469,0.001,-0.0,-0.0,7.623,6.939,2.851,-0.0,2,0.447,3.091,4.595,5.434,6.297,7.157,8.03,8.897,9.773,10.645,11.522,3.761,5.043,0.0,6.547,0.0,8.146,0.0,9.794,3.091,3.367,3.638,3.912,4.143,4.078,4.159,4.159,4.111,3.951,3.434,4.034,4.642,5.253,5.839,5.99,6.44,6.791,7.097,7.293,12.061,6.509,9.983,1.534,3.475,3.695,3.012,13.079,9.343,8.042,6.713,5.791,4.824,0.688,0.445,0.287,0.181,0.118,0.078,10.485,5.989,4.182,2.797,1.961,1.306,0.552,0.285,0.149,0.076,0.04,0.021,13.079,9.343,8.042,6.713,5.791,4.824,57.922,3.164,Cc1cncc(n1)c1ccccc1c1cnccn1,1149.01
174.21,7.574,15.064,23.073,15.716,25.495,0.655,1.003,0.683,1.108,0.179,23,13,3,24,14,11,19.5,0,0.0,11,10,11,0,2,0,0,2,43.5,47.8,0.0,8.7,1,10,2,3,12,10,1,0.769,0.2,1.2,1,0.5,0,2,1,2,0.786,0.0,51.529,44.341,68,176,192.299,72.207,257.63,190.983,80,182,188.061,83.987,280.61,194.079,7.167,4.317,2.833,1.26,11,20,1.581,8.959,1.814,1.992,0.334,28.0,5,0.878,20,45.93,3.23,6.546,0.75,68,5.231,0.899,4.982,26,114,22,1.95,1004,1777,936,2791,12.701,141,1403,8.232,2.837,1.303,1.796,0.595,0.352,0.177,0.099,1.448,3.667,13.753,17.823,32.333,2.487,8.932,7.267,0.006,-0.001,0.001,7.987,4.773,2.031,-0.003,10,0.773,2.708,4.234,5.081,5.958,6.825,7.706,8.578,9.458,10.332,11.213,3.367,4.691,0.0,6.232,0.0,7.874,0.0,9.566,2.708,3.045,3.296,3.497,3.714,3.638,3.497,3.296,3.135,2.197,3.02,3.726,4.369,4.984,5.596,5.844,6.09,6.326,6.565,5.689,11.749,5.606,7.99,1.425,2.384,3.303,2.671,9.422,6.182,5.756,4.869,3.708,3.0,0.725,0.442,0.288,0.187,0.116,0.075,7.281,4.096,3.137,2.177,1.41,0.971,0.56,0.293,0.157,0.084,0.044,0.024,9.422,6.182,5.756,4.869,3.708,3.0,38.244,2.44,Oc1ccc2c(c1)ccc(c2O)C,1163.53
304.39,8.953,24.579,34.025,25.921,37.202,0.723,1.001,0.762,1.094,0.108,34,22,0,37,25,22,36.0,3,0.081,22,12,18,2,1,1,1,4,35.3,52.9,5.9,2.9,0,18,4,5,23,21,1,0.955,0.095,1.095,3,0.75,1,3,1,2,0.88,54.57,179.848,94.378,118,326,327.886,150.041,486.04,344.963,138,356,356.954,164.662,552.46,377.636,10.0,6.233,4.806,1.967,18,34,2.0,17.682,2.2,2.234,0.238,46.0,6,0.936,31,102.199,5.897,0.0,0.857,222,10.091,1.554,17.818,79,594,68,2.754,5356,8811,5832,15243,21.968,499,13796,13.261,5.76,2.828,3.472,0.572,0.333,0.186,0.1,1.045,2.368,10.892,21.248,45.333,2.061,15.561,12.754,0.0,0.0,-0.0,7.561,8.07,3.418,0.0,0,0.0,3.258,4.779,5.624,6.488,7.345,8.213,9.075,9.944,10.809,11.678,3.932,5.231,2.398,6.73,4.595,8.315,6.581,9.942,3.258,3.555,3.829,4.094,4.29,4.29,4.419,4.522,4.625,4.635,3.611,4.252,4.882,5.504,6.032,6.276,6.711,7.13,7.541,7.714,12.223,7.228,11.452,1.584,4.224,3.853,3.146,14.778,10.882,9.557,8.213,7.017,5.639,0.672,0.435,0.281,0.183,0.119,0.078,12.456,7.799,5.645,4.054,2.949,1.904,0.566,0.312,0.166,0.09,0.05,0.026,15.131,11.336,10.134,8.853,7.762,6.237,71.513,3.65,c1ccc(nc1)c1csc(n1)Oc1ccc2c(c1)cccc2,1250.51
