Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom,Pol_tz
1,C1CCC(C1)Cc1ccccc1,F1-F10-F5,121.6655,906.7689999999999,110.322503769,1.4280000000000002,125.25399999999999,3,160.25544,1.4424863569400002,138.1853
105,Oc1occc1c1ccccn1,F3-F15-F11,105.3609,1209.14,127.396078626,1.5026,107.9833,3,161.15738000000002,1.51745704782,120.8367
166,Oc1ccc(c2c1cccc2)C,F3-F16-F1,121.8225,1096.28,133.5515703,1.5436,123.6842,3,158.1965,1.55360739924,136.2982
872,c1ccc(cc1)Cc1ccccc1,F1-F5-F5,130.9593,965.586,126.45246665,1.4737,134.0069,3,168.23438000000002,1.48662640556,148.6008
913,OC1NCN(CN1)c1ccco1,F3-F9-F15,96.7435,1295.45,125.326367075,1.4657,99.1131,3,169.18114,1.47906604581,112.7513
1000,Cc1cnccc1c1cccnc1,F1-F11-F11,121.714,1071.73,130.44454522,1.4846,127.367,3,170.2105,1.51122820509,141.1297
1028,OOC1CCCC1C1CCCC1,F3-F3-F10-F10,109.7611,975.1089999999999,107.02903646,1.3861,113.7214,4,170.24872,1.40182872387,125.9294
1052,Cc1cncc(n1)c1cccnc1,F1-F12-F11,125.7493,1115.2,140.23561936,1.5243,128.8947,3,171.19856000000001,1.54002302836,142.7143
1297,c1ccc(cc1)Oc1cnccn1,F3-F5-F12,117.1252,1146.46,134.27935679200002,1.4946,120.0369,3,172.18332,1.50917560688,133.619
1338,CCc1cocc1c1ccncc1,F1-F15-F11-F1,118.8036,1067.25,126.79314209999998,1.4593,122.6114,4,173.21114,1.4765210586000002,137.1408
1404,Cc1ccnc(c1c1ccoc1)C,F1-F11-F1-F15,118.40299999999999,1063.7,125.94527109999999,1.4558,120.8967,4,173.21114,1.46694139853,134.4803
1512,Oc1ncccc1c1nccnc1,F3-F11-F12,117.2138,1236.07,144.88446176600002,1.5377,121.1897,3,173.17138,1.55980604961,134.5237
1739,OCc1cc(O)cc2c1cccc2,F1-F3-F16-F3,126.2861,1173.24,148.16390396399999,1.5485,128.5225,4,174.1959,1.56026803417,141.8899
