SMILES,Density_MD (kg/m3)
C1CCC(C1)Cc1ccccc1,906.769
Oc1cc2ccccc2c(c1)O,1196.53
c1cnc(cn1)Cc1cocc1,1128.36
Cc1cccnc1C1CCCC1,971.832
Oc1ccc(cn1)c1cocc1,1210.17
Oc1occc1c1ccccn1,1209.14
c1ccc(nc1)c1cccnc1,1104.16
Cc1cccc(c1)c1ccco1,1038.41
Cc1occc1c1ccccc1,1035.02
Oc1ccc(c2c1cccc2)C,1096.28
Cc1ccc(cn1)c1ccco1,1086.66
Cc1ccc(nc1)c1cocc1,1089.15
Cc1cccnc1c1ccoc1,1091.84
Cc1cncc(c1)c1ccco1,1093.08
CCc1occc1c1ccco1,1082.6
Cc1coc(c1)c1occc1C,1069.44
Cc1coc(c1C)c1ccco1,1095.56
Cc1occ(c1)c1ccc(o1)C,1063.13
Cc1occ(c1)c1ccoc1C,1088.67
Oc1ccoc1c1cnccn1,1271.81
Oc1occ(c1)c1cnccn1,1267.68
C1CCC(C1)Oc1nccnc1,1070.2
CC(c1cocc1)C1CCCC1,947.682
COc1ccoc1c1cocc1,1186.28
COc1cocc1c1cocc1,1187.02
Cc1c(coc1C)C1CCCC1,945.591
Cc1cc(oc1O)c1cocc1,1186.02
Cc1ccoc1c1cocc1O,1216.86
Cc1coc(c1)c1occc1O,1186.13
OC(c1ccco1)c1ccoc1,1181.73
Oc1occ(c1)Cc1ccco1,1173.35
CC1(CCCC1)c1cocc1O,1049.91
CC1(O)CCCC1c1cocc1,1041.88
CCC1CCC(C1)C1CCCC1,843.166
COC1(CCCC1)c1cocc1,1030.12
COC1CCC(C1)c1cocc1,1031.81
Cc1occ(c1)C1(O)CCCC1,1034.49
OC1(CCCC1)Cc1ccco1,1030.7
OCC1(CCCC1)c1cocc1,1048.84
OCc1ccoc1C1CCCC1,1042.79
OOc1coc(c1)c1ccco1,1265.47
Oc1cc(c(o1)c1cocc1)O,1334.36
Oc1cc(oc1C)C1CCCC1,1030.78
Oc1oc(c(c1)c1cocc1)O,1333.81
Oc1occ(c1)Oc1cocc1,1295.81
OC1(CCCC1)Oc1cocc1,1125.17
OC1CCC(C1c1cocc1)O,1147.63
OC1CCCC1Oc1ccco1,1119.6
OC1CCCC1c1occc1O,1140.39
OCC1CCC(C1)C1CCCC1,926.393
OOC1CCC(C1)c1ccco1,1103.66
Oc1c(O)coc1C1CCCC1,1140.17
c1ccc(cc1)Cc1ccccc1,965.586
CC1(CCCC1)N1CNCNC1,1043.16
CN1CNC(NC1)C1CCCC1,1030.34
Cc1ccc(cc1)c1ccncc1,1032.68
OC1(NCNCN1)c1ccco1,1294.56
OC1NCN(CN1)c1ccco1,1295.45
ON1CNCNC1c1ccco1,1280.52
Oc1ccoc1N1CNCNC1,1306.25
Oc1cocc1C1NCNCN1,1310.24
Cc1ccc2c(c1)cc(cc2C)C,978.362
Cc1ccncc1c1cccnc1,1071.21
Cc1cnccc1c1cccnc1,1071.73
Cc1ncccc1c1ccccn1,1068.49
OOC1CCCC1C1CCCC1,975.109
c1ccc(cn1)Cc1cccnc1,1057.29
n1ccc(cc1)Cc1ccccn1,1059.44
Cc1cccnc1c1nccnc1,1120.15
Cc1cncc(n1)c1cccnc1,1115.2
OC1CCCC1N1CNCNC1,1136.89
ON1CNC(NC1)C1CCCC1,1115.62
Oc1ccc(cc1)c1ccccn1,1130.54
Oc1cnccc1c1ccccc1,1127.25
CCc1cc2ccccc2cc1O,1054.69
CCc1ccc(c2c1cccc2)O,1068.16
COc1c(C)ccc2c1cccc2,1046.14
COc1ccc2c(c1)c(C)ccc2,1060.09
Cc1nccnc1c1cnccn1,1172.38
Cc1oc(cc1C)c1ccccc1,1013.19
OCc1ccc2c(c1)c(C)ccc2,1069.04
Oc1cc(C)c2c(c1)c(C)ccc2,1085.78
Oc1ccc(nc1)c1ccncc1,1183.47
Oc1cccnc1c1ccncc1,1182.39
Oc1cnccc1c1ccncc1,1186.33
c1ccc(cc1)Oc1cnccn1,1146.46
CC(c1ccco1)c1cccnc1,1053.62
CCc1ccc(cn1)c1cocc1,1062.95
CCc1cnccc1c1ccco1,1061.52
CCc1cocc1c1ccncc1,1067.25
CCc1nccc(c1)c1ccco1,1068.63
Cc1cc(C)nc(c1)c1ccoc1,1059.62
Cc1ccnc(c1C)c1ccco1,1066.76
Cc1ccnc(c1c1ccoc1)C,1063.7
Cc1cnccc1Cc1cocc1,1063.96
Cc1coc(c1)c1cccnc1C,1057.29
Cc1ncccc1c1occc1C,1047.75
Cc1oc(c(c1)c1ccccn1)C,1052.27
Cc1occ(c1)c1cccc(n1)C,1048.73
