task,subtask,host,function,input tokens,output tokens
Represent,distance matrix,chemml,DistanceMatrix,"df, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,APEAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,APRDFAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,ChargeDependentAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,ChemicalOrderingAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,CoordinationNumberAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,CoulombMatrixAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,EffectiveCoordinationNumberAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,ElementFractionAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,ElementPairPropertyAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,ElementalPropertyAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,GCLPAttributeGenerator,"entries, energies, phases, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,IonicCompoundProximityAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,IonicityAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,LatticeSimilarityAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,LocalPropertyDifferenceAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,LocalPropertyVarianceAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,MeredigAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,PRDFAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,PackingEfficiencyAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,StoichiometricAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,StructuralHeterogeneityAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,ValenceShellAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,chemml,YangOmegaAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic input,chemml,CompositionEntry,"__dict__, __weakref__","entries, __dict__, __weakref__"
Represent,inorganic input,chemml,CrystalStructureEntry,"__dict__, __weakref__","entries, __dict__, __weakref__"
Represent,molecular descriptors,chemml,BagofBonds,"molecules, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,molecular descriptors,chemml,CoulombMatrix,"molecules, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,molecular descriptors,chemml,Dragon,"molfile, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,molecular descriptors,chemml,RDKitFingerprint,"molfile, __dict__, __weakref__","df, removed_rows, __dict__, __weakref__"
Prepare,data cleaning,chemml,ConstantColumns,"df, api, __dict__, __weakref__","df, removed_columns_, api, __dict__, __weakref__"
Prepare,data cleaning,chemml,MissingValues,"api, df, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,data cleaning,chemml,Outliers,"df, api, __dict__, __weakref__","df, removed_columns_, api, __dict__, __weakref__"
Prepare,data manipulation,chemml,Split,"df, __dict__, __weakref__","df1, df2, __dict__, __weakref__"
Prepare,data manipulation,pandas,concat,"df1, df2, df3, __dict__, __weakref__","df, __dict__, __weakref__"
Prepare,data cleaning,sklearn,Imputer,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
