Task,Subtask,Host,Function,Input Tokens,Output Tokens
Enter,Convert,cheml,ConvertFile,"file_path, __dict__, __weakref__","converted_file_paths, __dict__, __weakref__"
Enter,datasets,cheml,load_cep_homo,"__dict__, __weakref__","smiles, homo, __dict__, __weakref__"
Enter,datasets,cheml,load_comp_energy,"__dict__, __weakref__","entries, formation_energy, __dict__, __weakref__"
Enter,datasets,cheml,load_crystal_structures,"__dict__, __weakref__","entries, __dict__, __weakref__"
Enter,datasets,cheml,load_organic_density,"__dict__, __weakref__","smiles, density, features, __dict__, __weakref__"
Enter,datasets,cheml,load_xyz_polarizability,"__dict__, __weakref__","coordinates, polarizability, __dict__, __weakref__"
Enter,python script,cheml,PyScript,"iv1, iv2, iv3, iv4, iv5, iv6, __dict__, __weakref__","ov1, ov2, ov3, ov4, ov5, ov6, __dict__, __weakref__"
Enter,xyz,cheml,XYZreader,"__dict__, __weakref__","molecules, __dict__, __weakref__"
Enter,table,pandas,read_excel,"__dict__, __weakref__","df, __dict__, __weakref__"
Enter,table,pandas,read_table,"__dict__, __weakref__","df, __dict__, __weakref__"
Represent,distance matrix,cheml,DistanceMatrix,"df, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,APEAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,APRDFAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,ChargeDependentAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,ChemicalOrderingAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,CoordinationNumberAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,CoulombMatrixAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,EffectiveCoordinationNumberAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,ElementFractionAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,ElementPairPropertyAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
