hyperparameters,Accuracy_score
"('friedman_mse', 'best', 42, 11, -9.210340371976182)",0.5801313630829974
"('friedman_mse', 'best', 32, 81, -8.846774304661333)",-0.029109888067633705
"('absolute_error', 'random', 22, 71, -8.483208237346483)",-0.032607093977358226
"('friedman_mse', 'random', 32, 31, -8.119642170031634)",0.09048080234326719
"('friedman_mse', 'random', 22, 71, -7.756076102716785)",-0.029109888067633705
"('squared_error', 'random', 22, 51, -7.392510035401935)",-0.029109888067633705
"('squared_error', 'random', 32, 91, -7.028943968087086)",-0.029109888067633705
"('friedman_mse', 'best', 32, 31, -6.665377900772237)",0.48667916439896847
"('squared_error', 'random', 22, 11, -6.301811833457387)",0.5800756445725574
"('squared_error', 'best', 32, 21, -5.938245766142538)",0.5682575418973475
"('squared_error', 'best', 12, 1, -5.574679698827689)",0.7266233381541242
"('squared_error', 'random', 12, 71, -5.2111136315128395)",-0.029109888067633705
"('absolute_error', 'random', 22, 71, -4.84754756419799)",-0.032607093977358226
"('absolute_error', 'random', 2, 51, -4.483981496883141)",-0.032607093977358226
"('absolute_error', 'best', 12, 91, -4.1204154295682915)",-0.032607093977358226
"('absolute_error', 'random', 2, 91, -3.7568493622534422)",-0.032607093977358226
"('absolute_error', 'random', 42, 41, -3.393283294938593)",-0.032607093977358226
"('friedman_mse', 'random', 12, 21, -3.0297172276237436)",0.4263157992686089
"('absolute_error', 'random', 42, 21, -2.6661511603088943)",0.3364031010508731
"('absolute_error', 'best', 2, 61, -2.3025850929940455)",-0.032607093977358226
"('squared_error', 'random', 2, 11, -8.291793440999044)",0.5439598439830295
"('absolute_error', 'best', 32, 61, -8.803225225616279)",-0.032607093977358226
"('friedman_mse', 'random', 42, 21, -2.6661511603088943)",0.2961551872874129
"('absolute_error', 'random', 12, 21, -2.6744515952349004)",0.4372871746626821
"('friedman_mse', 'random', 22, 91, -2.9916110354666325)",-0.029109888067633705
"('squared_error', 'random', 32, 21, -5.807907352019086)",0.49415138174288253
"('absolute_error', 'random', 22, 91, -6.4080068905037715)",-0.032607093977358226
"('friedman_mse', 'best', 12, 81, -6.61896767007628)",-0.029109888067633705
"('absolute_error', 'best', 32, 31, -9.201140066352304)",0.46360458967533485
"('squared_error', 'best', 22, 31, -7.617173500928336)",0.48667916439896813
"('friedman_mse', 'best', 32, 21, -8.672084250748298)",0.5682575418973473
"('friedman_mse', 'best', 32, 91, -5.2165016787830405)",-0.029109888067633705
"('friedman_mse', 'best', 2, 31, -6.668051504804171)",0.486679164398969
"('friedman_mse', 'best', 12, 61, -7.154992017493825)",-0.029109888067633705
"('friedman_mse', 'best', 42, 1, -4.090338346914744)",0.5531019643305732
"('squared_error', 'best', 2, 51, -6.028691514902313)",-0.029109888067633705
"('absolute_error', 'best', 42, 51, -9.002283706270944)",-0.032607093977358226
"('friedman_mse', 'random', 2, 41, -8.783212078757467)",-0.029109888067633705
"('friedman_mse', 'best', 32, 91, -7.880601898924189)",-0.029109888067633705
"('absolute_error', 'best', 12, 81, -7.387693136866892)",-0.032607093977358226
"('friedman_mse', 'best', 42, 1, -5.304140448369462)",0.5531019643305735
"('squared_error', 'best', 12, 61, -6.387790072829444)",-0.029109888067633705
"('squared_error', 'random', 12, 91, -5.790436309559609)",-0.029109888067633705
"('absolute_error', 'best', 42, 81, -5.674250818248168)",-0.032607093977358226
"('squared_error', 'random', 42, 61, -6.345956021659935)",-0.029109888067633705
"('absolute_error', 'best', 12, 31, -5.215010942992225)",0.46360458967533485
"('squared_error', 'random', 2, 1, -7.433727399981591)",0.557812559889201
"('squared_error', 'best', 32, 81, -8.10780208544475)",-0.029109888067633705
"('friedman_mse', 'random', 2, 11, -6.607424991644643)",0.6680456209808185
"('absolute_error', 'random', 12, 11, -9.210340371976182)",0.5296076279686084
