hyperparameters,Accuracy_score
"(-9.210340371976182, 0.5)",0.8885931893555268
"(-8.846774304661333, 0.7)",0.8885923974005667
"(-8.483208237346483, 0.5)",0.9119890908094851
"(-8.119642170031634, 0.6)",0.915968451636683
"(-7.756076102716785, 0.6)",0.9235393620642065
"(-7.392510035401935, 0.5)",0.9347175222933807
"(-7.028943968087086, 0.6)",0.937903076459188
"(-6.665377900772237, 0.4)",0.9424013364837157
"(-6.301811833457387, 0.5)",0.9412351024811711
"(-5.938245766142538, 0.5)",0.9345100127421075
"(-5.574679698827689, 0.4)",0.9168180596386574
"(-5.2111136315128395, 0.7)",0.9288969320655818
"(-4.84754756419799, 0.5)",0.9109066112564491
"(-4.483981496883141, 0.4)",0.9282015195605835
"(-4.1204154295682915, 0.6)",0.9365109431097702
"(-3.7568493622534422, 0.5)",0.9494604170250387
"(-3.393283294938593, 0.5)",0.9498726535875521
"(-3.0297172276237436, 0.6)",0.9539132660079933
"(-2.6661511603088943, 0.5)",0.9569593508643153
"(-2.3025850929940455, 0.7)",0.9603439658583843
"(-6.024910362254172, 0.5)",0.9360238899181856
"(-5.704753925093673, 0.5)",0.9290505686951399
"(-8.182193413909664, 0.7)",0.899396071006668
"(-7.086608832271214, 0.5)",0.9393832051797812
"(-3.758114502797927, 0.7)",0.9469549743749197
"(-3.017924750127932, 0.6)",0.9540869678874397
"(-6.547916804420085, 0.4)",0.9418133772114625
"(-6.419720512378411, 0.6)",0.9433702420875971
"(-3.7568493622534422, 0.6)",0.9498443412465196
"(-3.7573019354195356, 0.7)",0.9469783531422844
"(-3.7567099054229622, 0.6)",0.9498486035466909
"(-3.334377460465136, 0.4)",0.949761046907478
"(-3.299084067479665, 0.6)",0.95090656820721
"(-3.2482772972776566, 0.6)",0.9502798542768748
"(-2.393974919022925, 0.6)",0.959490090154589
"(-2.329726148270118, 0.5)",0.9601174804031151
"(-3.0935678110589846, 0.7)",0.9514351064497616
"(-3.299084067479665, 0.4)",0.9506780853729129
"(-2.715041740474932, 0.5)",0.9559636067818262
"(-2.7060808103527245, 0.7)",0.9582855447329588
"(-5.241965856925326, 0.7)",0.9296949473010921
"(-3.0959906678809777, 0.7)",0.9514207589395174
"(-2.304562702249871, 0.5)",0.9602638212255605
"(-3.0788402815070763, 0.4)",0.9541197643219171
"(-3.3118641861464386, 0.5)",0.949509492729042
"(-2.4051020828712355, 0.6)",0.9595002498842555
"(-2.6661511603088943, 0.7)",0.9589936456878897
"(-2.599914489651063, 0.7)",0.9597263665876727
"(-2.4645293723332826, 0.5)",0.9593929421435614
"(-2.5449576179927837, 0.5)",0.958851900792884
