hyperparameters,Accuracy_score
"(156.9, -9.210340371976182)",0.9451492993150404
"(112.8, -8.846774304661333)",0.9518367899284792
"(171.6, -8.483208237346483)",0.9428691533662159
"(24.6, -8.119642170031634)",0.9622649635416173
"(93.2, -7.756076102716785)",0.9547006816882931
"(132.4, -7.392510035401935)",0.9488977260386962
"(142.20000000000002, -7.028943968087086)",0.9474070192205627
"(112.8, -6.665377900772237)",0.9518367899284792
"(19.700000000000003, -6.301811833457387)",0.9620765509621059
"(191.20000000000002, -5.938245766142538)",0.9397992938325996
"(78.5, -5.574679698827689)",0.9567747281283538
"(176.5, -5.2111136315128395)",0.9421046745357222
"(58.900000000000006, -4.84754756419799)",0.9593666703900139
"(98.1, -4.483981496883141)",0.9539935319917842
"(107.9, -4.1204154295682915)",0.9525609622520843
"(117.7, -3.7568493622534422)",0.9511080154100953
"(88.3, -3.393283294938593)",0.9554006722601333
"(73.6, -3.0297172276237436)",0.9574458066980193
"(78.5, -2.6661511603088943)",0.9567747281283538
"(54.00000000000001, -2.3025850929940455)",0.9599631817345455
"(107.9, -4.163011306947575)",0.9525609622520843
"(58.900000000000006, -5.7967526316735905)",0.9593666703900139
"(196.1, -8.846774304661333)",0.9390271302248472
"(132.4, -7.247521300214723)",0.9488977260386962
"(122.60000000000001, -7.019024516666599)",0.9503750321052348
"(93.2, -4.84754756419799)",0.9547006816882931
"(176.5, -5.469932053199254)",0.9421046745357222
"(132.4, -5.918639107291231)",0.9488977260386962
"(19.700000000000003, -5.7017534828693535)",0.9620765509621059
"(107.9, -4.911300224035877)",0.9525609622520843
"(24.6, -6.785924396530228)",0.9622649635416173
"(142.20000000000002, -3.5736565974067265)",0.9474070192205627
"(186.3, -7.467696123409683)",0.9405696586917254
"(132.4, -5.664307181891343)",0.9488977260386962
"(196.1, -6.7881956097816785)",0.9390271302248472
"(181.4, -5.687210878937977)",0.941338146655383
"(39.300000000000004, -5.53887078755381)",0.9615144709578312
"(186.3, -6.301811833457387)",0.9405696586917254
"(44.2, -4.6970331466946424)",0.9610495383211982
"(34.400000000000006, -5.395413912640665)",0.9618998303150322
"(39.300000000000004, -4.3673552864690945)",0.9615144709578312
"(19.700000000000003, -6.211450572289793)",0.9620765509621059
"(112.8, -6.623580236052155)",0.9518367899284792
"(24.6, -8.271840068992274)",0.9622649635416173
"(34.400000000000006, -4.913644574376471)",0.9618998303150322
"(191.20000000000002, -4.736981788586579)",0.9397992938325996
"(24.6, -8.139727173598294)",0.9622649635416173
"(137.3, -7.765385029420416)",0.9481539360634204
"(14.8, -8.99078143924851)",0.9613876123273366
"(19.700000000000003, -6.630317603681978)",0.9620765509621059
