Best_individual,Fitness_values,Time (hours)
"('linear', 1.7140713983674658)",0.9439573239011306,2.6686655150519476e-05
"('linear', 1.7140713983674658)",0.9439573239011306,1.9331243303087023e-05
"('linear', 1.7140713983674658)",0.9439573239011306,2.612398730383979e-05
"('linear', 1.7140713983674658)",0.9439573239011306,1.8422404925028482e-05
"('linear', 1.7140713983674658)",0.9439573239011306,2.534720632765028e-05
"('linear', 1.7140713983674658)",0.9439573239011306,2.3770597245958118e-05
"('linear', 1.7140713983674658)",0.9439573239011306,1.3411177529229059e-05
"('linear', 6.2105263157894735)",0.9412891951407318,3.15881437725491e-05
"('linear', 6.2105263157894735)",0.9412891951407318,2.3970405260721844e-05
"('linear', 6.2105263157894735)",0.9412891951407318,2.653095457288954e-05
